date,ticker,open,high,low,close,adj close,volume
2010-01-04,ZC=F,415.75,426.25,413.25,418.5,418.5,140553
2010-01-05,ZC=F,417.25,420.0,415.25,418.75,418.75,80967
2010-01-06,ZC=F,418.0,422.0,416.0,421.75,421.75,96453
2010-01-07,ZC=F,421.0,424.0,414.5,417.5,417.5,137395
2010-01-08,ZC=F,417.5,423.75,415.0,423.0,423.0,137395
2010-01-11,ZC=F,421.75,425.0,418.0,422.5,422.5,137395
2010-01-12,ZC=F,419.0,419.0,392.5,392.5,392.5,137395
2010-01-13,ZC=F,384.5,385.25,368.0,384.0,384.0,301566
2010-01-14,ZC=F,382.25,382.75,376.5,381.0,381.0,150818
2010-01-15,ZC=F,379.0,379.75,369.5,371.5,371.5,164273
2010-01-19,ZC=F,371.5,375.25,367.75,369.25,369.25,125418
2010-01-20,ZC=F,369.25,370.5,362.25,368.0,368.0,117028
2010-01-21,ZC=F,369.0,372.0,364.0,372.0,372.0,117638
2010-01-22,ZC=F,372.5,372.75,363.5,364.75,364.75,116246
2010-01-25,ZC=F,366.75,369.25,365.25,367.75,367.75,83425
2010-01-26,ZC=F,367.75,369.0,360.25,362.25,362.25,106613
2010-01-27,ZC=F,362.25,363.5,358.25,358.25,358.25,86413
2010-01-28,ZC=F,359.0,363.0,357.75,361.75,361.75,104224
2010-01-29,ZC=F,361.75,363.5,355.25,356.5,356.5,131890
2010-02-01,ZC=F,356.25,360.75,355.5,359.0,359.0,112634
2010-02-02,ZC=F,359.0,367.25,358.75,365.0,365.0,146992
2010-02-03,ZC=F,365.0,368.25,352.75,353.0,353.0,171750
2010-02-04,ZC=F,355.75,359.0,349.0,354.0,354.0,163425
2010-02-05,ZC=F,354.25,355.5,347.5,351.5,351.5,164659
2010-02-08,ZC=F,354.0,362.0,353.5,356.0,356.0,148576
2010-02-09,ZC=F,355.75,363.5,354.75,358.5,358.5,196600
2010-02-10,ZC=F,358.75,365.5,355.25,361.75,361.75,169470
2010-02-11,ZC=F,361.75,365.0,359.5,363.25,363.25,134275
2010-02-12,ZC=F,363.5,364.25,357.5,361.5,361.5,101557
2010-02-16,ZC=F,362.25,368.75,362.0,367.25,367.25,126169
2010-02-17,ZC=F,367.0,368.0,359.5,360.0,360.0,86665
2010-02-18,ZC=F,360.5,361.5,355.5,357.25,357.25,98889
2010-02-19,ZC=F,355.0,360.5,353.25,360.0,360.0,97358
2010-02-22,ZC=F,360.0,376.75,360.0,371.5,371.5,192526
2010-02-23,ZC=F,370.0,373.0,367.25,367.75,367.75,113231
2010-02-24,ZC=F,367.75,376.0,367.5,375.25,375.25,73542
2010-02-25,ZC=F,374.75,375.0,369.25,372.25,372.25,77961
2010-02-26,ZC=F,372.0,380.0,372.0,378.0,378.0,47785
2010-03-01,ZC=F,378.0,381.0,369.25,370.75,370.75,32859
2010-03-02,ZC=F,371.0,373.5,365.25,370.5,370.5,28409
2010-03-03,ZC=F,370.0,377.75,366.75,375.75,375.75,24319
2010-03-04,ZC=F,375.0,375.0,369.25,372.0,372.0,20347
2010-03-05,ZC=F,373.0,377.0,364.25,364.75,364.75,16347
2010-03-08,ZC=F,367.0,367.75,362.25,364.5,364.5,11798
2010-03-09,ZC=F,364.5,364.5,358.0,358.75,358.75,11569
2010-03-10,ZC=F,359.0,360.5,352.5,355.5,355.5,6883
2010-03-11,ZC=F,356.75,357.75,352.0,355.5,355.5,4818
2010-03-12,ZC=F,356.25,357.25,353.25,354.0,354.0,71322
2010-03-15,ZC=F,365.0,366.25,362.0,363.25,363.25,74189
2010-03-16,ZC=F,363.75,369.0,363.0,366.75,366.75,75425
2010-03-17,ZC=F,367.75,374.5,365.0,374.0,374.0,87013
2010-03-18,ZC=F,373.0,376.5,369.0,376.0,376.0,83044
2010-03-19,ZC=F,375.25,376.25,371.5,374.5,374.5,58909
2010-03-22,ZC=F,373.5,376.25,370.5,370.75,370.75,73826
2010-03-23,ZC=F,371.0,372.25,362.5,362.75,362.75,104624
2010-03-24,ZC=F,363.25,366.5,359.0,365.0,365.0,77811
2010-03-25,ZC=F,364.5,366.5,354.0,355.0,355.0,102042
2010-03-26,ZC=F,355.25,358.0,355.0,356.25,356.25,67136
2010-03-29,ZC=F,356.0,360.0,354.75,357.0,357.0,89062
2010-03-30,ZC=F,356.5,359.0,351.75,354.5,354.5,134295
2010-03-31,ZC=F,353.75,354.5,344.25,345.0,345.0,126262
2010-04-01,ZC=F,345.25,349.0,343.5,344.5,344.5,589
2010-04-05,ZC=F,344.75,347.25,343.75,345.75,345.75,79432
2010-04-06,ZC=F,345.75,349.75,344.25,346.5,346.5,89924
2010-04-07,ZC=F,346.75,359.0,343.75,356.5,356.5,186180
2010-04-08,ZC=F,355.0,355.75,346.25,348.25,348.25,146831
2010-04-09,ZC=F,348.25,352.0,344.0,345.75,345.75,112702
2010-04-12,ZC=F,346.5,351.25,345.5,348.25,348.25,138115
2010-04-13,ZC=F,347.75,353.5,345.25,352.5,352.5,183842
2010-04-14,ZC=F,352.0,363.75,351.5,358.0,358.0,223855
2010-04-15,ZC=F,357.5,363.75,356.0,363.25,363.25,115369
2010-04-16,ZC=F,362.0,365.0,358.5,364.0,364.0,109384
2010-04-19,ZC=F,362.5,363.0,347.75,347.75,347.75,107934
2010-04-20,ZC=F,349.25,356.5,349.25,355.5,355.5,96888
2010-04-21,ZC=F,355.25,363.25,355.25,359.25,359.25,104079
2010-04-22,ZC=F,358.75,363.0,356.0,362.25,362.25,73359
2010-04-23,ZC=F,360.75,362.5,352.0,353.0,353.0,98676
2010-04-26,ZC=F,353.0,359.5,352.0,352.25,352.25,92137
2010-04-27,ZC=F,352.25,353.5,345.0,347.5,347.5,85029
2010-04-28,ZC=F,348.5,361.75,348.25,357.0,357.0,71517
2010-04-29,ZC=F,356.75,370.0,356.75,360.5,360.5,78456
2010-04-30,ZC=F,361.0,366.75,360.25,366.25,366.25,26530
2010-05-03,ZC=F,366.0,369.0,360.5,362.75,362.75,17483
2010-05-04,ZC=F,362.25,362.75,353.5,360.0,360.0,16371
2010-05-05,ZC=F,360.0,364.75,354.5,364.75,364.75,14167
2010-05-06,ZC=F,365.0,372.75,361.0,364.0,364.0,10329
2010-05-07,ZC=F,362.25,367.75,360.75,364.75,364.75,5188
2010-05-10,ZC=F,363.75,369.75,361.75,363.0,363.0,4549
2010-05-11,ZC=F,362.0,370.0,358.0,369.75,369.75,1923
2010-05-12,ZC=F,369.5,379.0,367.75,371.75,371.75,3604
2010-05-13,ZC=F,370.25,373.75,365.75,366.5,366.5,1326
2010-05-14,ZC=F,366.5,366.5,356.0,356.75,356.75,127487
2010-05-17,ZC=F,364.0,364.5,355.5,356.0,356.0,112705
2010-05-18,ZC=F,358.0,362.75,357.0,359.75,359.75,104868
2010-05-19,ZC=F,359.75,363.25,353.5,359.25,359.25,115468
2010-05-20,ZC=F,360.0,363.0,354.25,362.0,362.0,112279
2010-05-21,ZC=F,362.0,372.5,359.0,369.0,369.0,147199
2010-05-24,ZC=F,368.5,372.75,367.75,371.0,371.0,96250
2010-05-25,ZC=F,369.0,370.25,362.5,364.25,364.25,122528
2010-05-26,ZC=F,367.25,372.0,366.25,371.5,371.5,97015
2010-05-27,ZC=F,369.5,373.75,368.25,373.25,373.25,97272
2010-05-28,ZC=F,372.0,373.0,358.25,359.0,359.0,150749
2010-06-01,ZC=F,358.75,361.0,353.0,354.0,354.0,137372
2010-06-02,ZC=F,354.25,357.5,347.75,348.5,348.5,127867
2010-06-03,ZC=F,349.0,351.5,344.5,349.5,349.5,141195
2010-06-04,ZC=F,350.0,350.75,339.75,340.0,340.0,139239
2010-06-07,ZC=F,340.75,341.0,335.5,335.75,335.75,140946
2010-06-08,ZC=F,336.5,340.25,335.0,337.25,337.25,171038
2010-06-09,ZC=F,338.0,341.25,336.5,338.25,338.25,144352
2010-06-10,ZC=F,338.0,348.0,336.0,343.25,343.25,161773
2010-06-11,ZC=F,343.25,349.75,342.75,349.5,349.5,106329
2010-06-14,ZC=F,349.0,354.5,348.5,353.75,353.75,112712
2010-06-15,ZC=F,352.0,355.0,350.75,353.75,353.75,99101
2010-06-16,ZC=F,353.5,360.5,352.75,356.25,356.25,117993
2010-06-17,ZC=F,356.25,360.0,354.25,357.5,357.5,101835
2010-06-18,ZC=F,356.75,364.25,355.75,360.75,360.75,116128
2010-06-21,ZC=F,363.0,367.25,351.25,355.0,355.0,149983
2010-06-22,ZC=F,355.0,356.25,348.25,351.5,351.5,106443
2010-06-23,ZC=F,351.25,351.75,345.75,346.5,346.5,100134
2010-06-24,ZC=F,346.5,348.75,342.25,344.75,344.75,125609
2010-06-25,ZC=F,344.75,346.25,339.5,340.5,340.5,102191
2010-06-28,ZC=F,339.5,339.75,332.0,333.75,333.75,123243
2010-06-29,ZC=F,333.5,334.5,324.5,325.0,325.0,116715
2010-06-30,ZC=F,325.25,358.0,325.0,354.25,354.25,65209
2010-07-01,ZC=F,354.0,367.25,351.5,365.5,365.5,17351
2010-07-02,ZC=F,363.5,366.25,361.5,364.0,364.0,19278
2010-07-06,ZC=F,362.25,371.25,359.25,360.0,360.0,17886
2010-07-07,ZC=F,360.0,371.25,359.75,370.75,370.75,8953
2010-07-08,ZC=F,370.75,378.5,370.0,377.5,377.5,7471
2010-07-09,ZC=F,375.75,378.0,374.25,375.25,375.25,7015
2010-07-12,ZC=F,375.0,376.5,370.0,371.25,371.25,6507
2010-07-13,ZC=F,369.5,374.25,366.0,366.75,366.75,4930
2010-07-14,ZC=F,366.0,376.75,365.75,375.25,375.25,70640
2010-07-15,ZC=F,383.5,397.75,383.0,392.5,392.5,87390
2010-07-16,ZC=F,391.25,395.75,387.5,394.75,394.75,69731
2010-07-19,ZC=F,386.25,391.25,376.75,381.5,381.5,72718
2010-07-20,ZC=F,379.75,380.25,373.25,374.0,374.0,64362
2010-07-21,ZC=F,374.0,381.5,373.25,379.75,379.75,47803
2010-07-22,ZC=F,379.0,387.0,374.0,376.5,376.5,68229
2010-07-23,ZC=F,375.25,379.5,369.75,371.25,371.25,58696
2010-07-26,ZC=F,369.0,371.75,361.75,364.0,364.0,75192
2010-07-27,ZC=F,363.5,369.5,362.0,362.75,362.75,48460
2010-07-28,ZC=F,362.75,379.5,362.25,376.25,376.25,75851
2010-07-29,ZC=F,376.0,385.5,375.5,379.25,379.25,76118
2010-07-30,ZC=F,378.5,393.0,378.25,392.75,392.75,91621
2010-08-02,ZC=F,391.5,404.25,389.25,390.5,390.5,96441
2010-08-03,ZC=F,390.0,394.5,385.25,389.5,389.5,58900
2010-08-04,ZC=F,388.75,402.0,387.5,400.25,400.25,69440
2010-08-05,ZC=F,398.75,425.0,395.5,403.5,403.5,136368
2010-08-06,ZC=F,401.25,408.25,392.0,405.0,405.0,99928
2010-08-09,ZC=F,402.75,411.0,401.0,403.0,403.0,97009
2010-08-10,ZC=F,402.5,402.75,392.75,393.5,393.5,92894
2010-08-11,ZC=F,393.5,400.5,390.5,395.5,395.5,115740
2010-08-12,ZC=F,394.75,414.0,394.75,406.25,406.25,135452
2010-08-13,ZC=F,406.0,413.75,406.0,411.75,411.75,59859
2010-08-16,ZC=F,409.0,417.5,405.75,407.25,407.25,51487
2010-08-17,ZC=F,407.0,416.25,406.25,414.75,414.75,87596
2010-08-18,ZC=F,414.0,419.75,409.0,418.5,418.5,72344
2010-08-19,ZC=F,417.5,422.75,411.25,414.25,414.25,62710
2010-08-20,ZC=F,414.0,422.0,409.0,421.25,421.25,57238
2010-08-23,ZC=F,420.0,422.25,415.0,417.25,417.25,57138
2010-08-24,ZC=F,416.0,416.0,399.75,405.25,405.25,90835
2010-08-25,ZC=F,404.75,408.75,400.25,404.75,404.75,48914
2010-08-26,ZC=F,405.0,419.75,405.0,416.5,416.5,78744
2010-08-27,ZC=F,416.0,425.0,416.0,421.0,421.0,79140
2010-08-30,ZC=F,423.25,429.25,422.75,425.5,425.5,104483
2010-08-31,ZC=F,424.75,429.5,416.25,424.5,424.5,52358
2010-09-01,ZC=F,424.75,432.75,423.25,432.25,432.25,23058
2010-09-02,ZC=F,432.25,433.25,428.5,433.0,433.0,22155
2010-09-03,ZC=F,432.5,452.0,430.75,449.75,449.75,22227
2010-09-07,ZC=F,449.75,459.0,443.25,451.5,451.5,16446
2010-09-08,ZC=F,450.75,453.0,447.0,447.5,447.5,12495
2010-09-09,ZC=F,447.75,456.25,445.0,456.25,456.25,10735
2010-09-10,ZC=F,456.0,465.5,448.25,464.0,464.0,9982
2010-09-13,ZC=F,463.25,471.75,462.5,469.25,469.25,7972
2010-09-14,ZC=F,470.0,481.5,466.5,478.0,478.0,206323
2010-09-15,ZC=F,494.0,498.5,491.75,495.25,495.25,154188
2010-09-16,ZC=F,495.0,497.5,489.5,496.0,496.0,161285
